platform,video_id,video_title,author,text,likes,replies,time,parent_rpid,matched_patterns
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,里奥-儒-哟西,那更夸张了，日本多少中国多少人,1,0,2026-09-14T23:21:00+08:00,313955447217,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,返祖现象临床观察员,回复 @里奥-儒-哟西 :Siuuuuuuuuu,0,0,2026-09-15T00:10:00+08:00,313955447217,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,陆知祺,回复 @里奥-儒-哟西 :因为不止日本人看他直播，我也看了几次，很厉害，还有他在日本人气真的高[来古-注意],0,0,2026-09-15T02:11:00+08:00,313955447217,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,DR_N1cK,不是👴🏻是神?,0,0,2026-09-14T07:44:00+08:00,313930640753,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,鲨鱼的皮衣,这倒合理了,2,0,2026-09-14T11:25:00+08:00,317436868656,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,美電球_,半天8万吧 只算派世的加盟费和分成都不止这个数了,3,0,2026-09-14T11:29:00+08:00,317436868656,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,YuriとRui,工资有可能，算上直播礼物之类的就应该不止了，他播瓦同接都能有3w往上,0,0,2026-09-14T11:35:00+08:00,317436868656,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,走过一下午的纬度,真挣这点钱牢meiy就不用犹豫要不要退役了,10,0,2026-09-14T06:49:00+08:00,317422468544,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,FREAINI7,我感觉是这个垫子品牌方结的费用吧，毕竟瓦是有拳头监管的,0,0,2026-09-14T06:58:00+08:00,317422468544,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,魏璎凤鸣,看那个切片的有人说meiy在东京租的房子都要25w一个月，肯定只是最基础的工资，别的都没加,0,0,2026-09-14T07:51:00+08:00,317422468544,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,TiWiTe,所谓幸福…,0,0,2026-09-14T08:51:00+08:00,317422468544,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,网友草顺虫,回复 @魏璎凤鸣 : 25w一个月在东京还蛮正常的，8w这个数字感觉像转译来的rmb,0,0,2026-09-14T10:02:00+08:00,317422468544,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,gt阿吧,代言+联名一般是单笔+分成,0,0,2026-09-14T10:21:00+08:00,317422468544,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,魏璎凤鸣,回复 @网友草顺虫 :并不是，其实这个问题来源于一个新烤的切片，meiy联名玻璃垫大概17000日元，但是meiy想让厂家再提高一点价格让自己多赚点钱，切片里说自己对不住大家但是自己工资只有8w日元之类云云,1,0,2026-09-14T15:01:00+08:00,317422468544,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,魏璎凤鸣,对标的就是中国的kk，jp瓦第一人了,15,0,2026-09-14T07:50:00+08:00,313935690529,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,wulei61616,回复 @魏璎凤鸣 :Zeta那几个更算老edg吧，meiy属于lizhi线的康康了,0,0,2026-09-14T07:51:00+08:00,313935690529,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,安思澈,回复 @wulei61616 :怎么说呢，老zeta热度最高的也是laz和dep，但是这俩退役的一段时间重心应该没在直播上或者效果不好没怎么特别火，亚洲本身很多地方fps就比较贫瘠，jp最火的就是apex和瓦，尤其是瓦比赛办得好所以看的人越来越多了，这个时候出来个meiy长得也还可以打的又吊，jp那边看瓦的基本上就是meiy粉或者很认可他的，说一句地位和康哥差不多也没问题，都是各个地区最好的那个选手，一开始老EDG其他四个也是世界赛水平，只不过康哥基本一直保持着争冠水准。jp dfm那几个都是神经刀，除了梅姨有联赛顶级水准都是中游或者中下水平，类比一下还真差不多,3,0,2026-09-14T07:56:00+08:00,313935690529,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,梦兮丶泪成痕,好像是ENC？打赢小肥中国香港队的那把[鸣潮_哇],0,0,2026-09-14T13:39:00+08:00,313941528657,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,凌之诗,其实日本人学中文比学英语更快,20,0,2026-09-14T07:13:00+08:00,317421095952,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,晓窗读易,日本人不会英语？,0,0,2026-09-14T07:31:00+08:00,317421095952,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,_犹如幻翳_,回复 @晓窗读易 :一定会吗 ?,0,0,2026-09-14T08:27:00+08:00,317421095952,
bilibili,BV14HYC6XERP,【KMD】老乡meiy月薪才4k？不可能！那他不如去便利店打工！我的身价都有meiy的三倍！要是十万日元他能天天陪我双排我直接雇了！,竖琴海豹大王,回复 @_犹如幻翳_ :不会英文交流打亚服吗[星星眼],0,0,2026-09-14T08:32:00+08:00,317421095952,
